Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax_5%,Total,Date,Time,Payment,COGS,Gross_Margin_Percentage,Gross_Income,Rating
444-44-7976,A,Yangon,Member,Male,Fashion accessories,19.86,4,3.972,83.412,01-05-2024,20:04:00,Cash,79.44,4.7619,3.972,9
662-71-4586,B,Mandalay,Normal,Female,Home and lifestyle,35.04,5,8.76,183.96,12-03-2024,18:26:00,Ewallet,175.2,4.7619,8.76,4.5
814-99-3352,B,Mandalay,Normal,Male,Fashion accessories,76.92,10,38.46,807.66,28-01-2024,12:39:00,Ewallet,769.2,4.7619,38.46,8.1
830-65-6625,C,Naypyitaw,Member,Male,Home and lifestyle,97.68,6,29.304,615.384,27-02-2024,19:01:00,Credit card,586.08,4.7619,29.304,6.7
399-71-8828,C,Naypyitaw,Normal,Female,Sports and travel,23.88,4,4.776,100.296,14-04-2024,19:58:00,Ewallet,95.52,4.7619,4.776,7.2
871-66-7385,C,Naypyitaw,Normal,Female,Fashion accessories,39.64,10,19.82,416.22,29-01-2024,17:25:00,Cash,396.4,4.7619,19.82,6.7
823-18-8414,C,Naypyitaw,Member,Female,Home and lifestyle,49.18,8,19.672,413.112,18-04-2024,18:31:00,Ewallet,393.44,4.7619,19.672,5.1
882-54-7940,A,Yangon,Normal,Male,Fashion accessories,56.82,7,19.887,417.627,07-01-2024,14:36:00,Cash,397.74,4.7619,19.887,6.4
328-13-7383,B,Mandalay,Member,Male,Health and beauty,28.01,6,8.403,176.463,02-03-2024,17:48:00,Credit card,168.06,4.7619,8.403,7.1
736-99-9189,A,Yangon,Member,Female,Fashion accessories,11.14,8,4.456,93.576,15-05-2024,20:09:00,Ewallet,89.12,4.7619,4.456,5.9
754-25-8606,B,Mandalay,Normal,Male,Fashion accessories,63.57,3,9.5355,200.2455,25-01-2024,19:40:00,Credit card,190.71,4.7619,9.5355,6.5
519-95-2907,A,Yangon,Member,Female,Electronic accessories,14.86,7,5.201,109.221,17-03-2024,15:31:00,Cash,104.02,4.7619,5.201,9.8
530-96-5446,B,Mandalay,Member,Male,Electronic accessories,58.08,8,23.232,487.872,22-06-2024,16:43:00,Cash,464.64,4.7619,23.232,6.3
